,b_id,expl,L,p,cent,s,seed
343,306,hyperx,260.48389979810975,10,eigenvector,"(24, 26)",3596
344,306,hyperx,37.26687905362876,1,eigenvector,"(0, 1)",3596
345,306,hyperx,3.19319639173127,1,eigenvector,"(25, 26)",3596
346,306,hyperx,115.01512069934543,1,eigenvector,"(0, 2)",3596
347,306,hyperx,81.22856844073542,1,eigenvector,"(24, 26)",3596
348,306,hyperx,37.26687905362876,2,eigenvector,"(0, 1)",3596
349,306,hyperx,6.276642249841339,2,eigenvector,"(25, 26)",3596
350,306,hyperx,115.01512069934543,2,eigenvector,"(0, 2)",3596
351,306,hyperx,163.8236801708926,2,eigenvector,"(24, 26)",3596
352,2677,hyperx,55.53463221922058,10,degree,"(0, 1)",2061
353,2677,hyperx,4.283514610617576,10,degree,"(25, 26)",2061
354,2677,hyperx,148.29614643168236,10,degree,"(0, 2)",2061
355,2677,hyperx,112.90585215426569,10,degree,"(24, 26)",2061
356,2677,hyperx,88.23023335155771,10,eigenvector,"(0, 1)",2061
357,2677,hyperx,23.920313865507975,10,eigenvector,"(25, 26)",2061
358,2677,hyperx,144.24197476456382,10,eigenvector,"(0, 2)",2061
359,2677,hyperx,496.17534476200063,10,eigenvector,"(24, 26)",2061
360,2677,hyperx,88.23023335155771,1,eigenvector,"(0, 1)",2061
361,2677,hyperx,3.933653834443,1,eigenvector,"(25, 26)",2061
362,2677,hyperx,156.50087386753736,1,eigenvector,"(0, 2)",2061
363,2677,hyperx,104.79590801216862,1,eigenvector,"(24, 26)",2061
364,2677,hyperx,88.23023335155771,2,eigenvector,"(0, 1)",2061
365,2677,hyperx,9.870920358224794,2,eigenvector,"(25, 26)",2061
366,2677,hyperx,156.50087386753736,2,eigenvector,"(0, 2)",2061
367,2677,hyperx,208.80117349328745,2,eigenvector,"(24, 26)",2061
368,3806,hyperx,43.631696761881535,10,degree,"(0, 1)",10817
369,3806,hyperx,4.47365701888576,10,degree,"(25, 26)",10817
370,3806,hyperx,97.18011287474484,10,degree,"(0, 2)",10817
371,3806,hyperx,140.3479686645208,10,degree,"(24, 26)",10817
372,3806,hyperx,33.92958040934687,10,eigenvector,"(0, 1)",10817
373,3806,hyperx,23.692234837573668,10,eigenvector,"(25, 26)",10817
374,3806,hyperx,95.61306010557534,10,eigenvector,"(0, 2)",10817
375,3806,hyperx,649.5600096197433,10,eigenvector,"(24, 26)",10817
376,3806,hyperx,33.92958040934687,1,eigenvector,"(0, 1)",10817
377,3806,hyperx,6.404869044546364,1,eigenvector,"(25, 26)",10817
378,3806,hyperx,75.84324934605065,1,eigenvector,"(0, 2)",10817
379,3806,hyperx,139.4312122890695,1,eigenvector,"(24, 26)",10817
380,3806,hyperx,33.92958040934687,2,eigenvector,"(0, 1)",10817
381,3806,hyperx,9.465996020759025,2,eigenvector,"(25, 26)",10817
382,3806,hyperx,75.84324934605065,2,eigenvector,"(0, 2)",10817
383,3806,hyperx,198.30121921697136,2,eigenvector,"(24, 26)",10817
384,784,hyperx,64.31647322194803,10,degree,"(0, 1)",7757
385,784,hyperx,8.921454925984708,10,degree,"(25, 26)",7757
